ProductID,ProductName,ProductNumber,CategoryID,CategoryName
61,"Road-450 Red, 60",BK-R68R-60,27,Road Bikes
62,"Road-550-W Yellow, 38",BK-R64Y-38,27,Road Bikes
63,"Road-550-W Yellow, 40",BK-R64Y-40,27,Road Bikes
64,"Road-550-W Yellow, 42",BK-R64Y-42,27,Road Bikes
65,"Road-550-W Yellow, 44",BK-R64Y-44,27,Road Bikes
66,"Road-550-W Yellow, 48",BK-R64Y-48,27,Road Bikes
67,"Road-650 Black, 44",BK-R50B-44,27,Road Bikes
68,"Road-650 Black, 48",BK-R50B-48,27,Road Bikes
69,"Road-650 Black, 52",BK-R50B-52,27,Road Bikes
70,"Road-650 Black, 58",BK-R50B-58,27,Road Bikes
71,"Road-650 Black, 60",BK-R50B-60,27,Road Bikes
72,"Road-650 Black, 62",BK-R50B-62,27,Road Bikes
73,"Road-650 Red, 44",BK-R50R-44,27,Road Bikes
74,"Road-650 Red, 48",BK-R50R-48,27,Road Bikes
75,"Road-650 Red, 52",BK-R50R-52,27,Road Bikes
76,"Road-650 Red, 58",BK-R50R-58,27,Road Bikes
77,"Road-650 Red, 60",BK-R50R-60,27,Road Bikes
78,"Road-650 Red, 62",BK-R50R-62,27,Road Bikes
79,"Road-750 Black, 44",BK-R19B-44,27,Road Bikes
80,"Road-750 Black, 48",BK-R19B-48,27,Road Bikes
81,"Road-750 Black, 52",BK-R19B-52,27,Road Bikes
82,"Road-750 Black, 58",BK-R19B-58,27,Road Bikes
83,"Touring-1000 Blue, 46",BK-T79U-46,34,Touring Bikes
84,"Touring-1000 Blue, 50",BK-T79U-50,34,Touring Bikes
85,"Touring-1000 Blue, 54",BK-T79U-54,34,Touring Bikes
86,"Touring-1000 Blue, 60",BK-T79U-60,34,Touring Bikes
87,"Touring-1000 Yellow, 46",BK-T79Y-46,34,Touring Bikes
88,"Touring-1000 Yellow, 50",BK-T79Y-50,34,Touring Bikes
89,"Touring-1000 Yellow, 54",BK-T79Y-54,34,Touring Bikes
90,"Touring-1000 Yellow, 60",BK-T79Y-60,34,Touring Bikes
91,"Touring-2000 Blue, 46",BK-T44U-46,34,Touring Bikes
92,"Touring-2000 Blue, 50",BK-T44U-50,34,Touring Bikes
93,"Touring-2000 Blue, 54",BK-T44U-54,34,Touring Bikes
94,"Touring-2000 Blue, 60",BK-T44U-60,34,Touring Bikes
95,"Touring-3000 Blue, 44",BK-T18U-44,34,Touring Bikes
96,"Touring-3000 Blue, 50",BK-T18U-50,34,Touring Bikes
97,"Touring-3000 Blue, 54",BK-T18U-54,34,Touring Bikes
98,"Touring-3000 Blue, 58",BK-T18U-58,34,Touring Bikes
99,"Touring-3000 Blue, 62",BK-T18U-62,34,Touring Bikes
100,"Touring-3000 Yellow, 44",BK-T18Y-44,34,Touring Bikes
101,"Touring-3000 Yellow, 50",BK-T18Y-50,34,Touring Bikes
102,"Touring-3000 Yellow, 54",BK-T18Y-54,34,Touring Bikes
103,"Touring-3000 Yellow, 58",BK-T18Y-58,34,Touring Bikes
104,"Touring-3000 Yellow, 62",BK-T18Y-62,34,Touring Bikes
